Subject,Room,Section,Day,Start Time,End Time
TLE,Room 401,Argon,Monday,6:00,6:40
Mapeh,Room 401,Argon,Monday,6:40,7:20
Values Education,Room 401,Argon,Monday,7:20,8:00
AP,Room 401,Argon,Monday,8:00,8:40
Science,Room 401,Argon,Monday,8:40,9:20
Recess,Room 401,Argon,Monday,9:20,9:50
Mathematics,Room 401,Argon,Thursday,9:50,10:30
English,Room 401,Argon,Monday,10:30,11:10
Filipino,Room 401,Argon,Monday,11:10,11:50
NMP,Room 401,Argon,Monday,11:50,12:30
ASYNC,Room 401,Argon,Monday,12:30,12:55
ASYNC,Room 401,Argon,Monday,12:55,1:20
Values Education,Room 403,Barium,Monday,6:00,6:40
TLE,Room 402,Barium,Monday,6:40,7:20
AP,Room 402,Barium,Monday,7:20,8:00
Science,Room 402,Barium,Monday,8:00,8:40
Mathematics,Room 402,Barium,Monday,8:40,9:20
Recess,Room 402,Barium,Monday,9:20,9:50
English,Room 402,Barium,Monday,9:50,10:30
Filipino,Room 402,Barium,Monday,10:30,11:10
Mapeh,Room 402,Barium,Monday,11:10,11:50
ASYNC,Room 402,Barium,Monday,12:30,12:55
ASYNC,Room 402,Barium,Monday,12:55,1:20
NMP,Room 302,Europium,Monday,11:50,12:30
HGP,Room VPEI 301,Iron,Monday,11:50,12:30
NMP,Room VPEI 303,Keypton,Monday,11:50,12:30
HGP,Room DEPED 303,Oxygen,Monday,11:50,12:30
NMP,Room DEPED 203,Silver,Monday,11:50,12:30
AP,Room 403,Copper,Monday,6:00,6:40
Science,Room 403,Copper,Monday,6:40,7:20
TLE,Room 403,Copper,Monday,7:20,8:00
Mathematics,Room 403,Copper,Monday,8:00,8:40
English,Room 403,Copper,Monday,8:40,9:20
Recess,Room 403,Copper,Monday,9:20,9:50
Filipino,Room 403,Copper,Monday,9:50,10:30
Mapeh,Room 401,Copper,Monday,10:30,11:10
Values Education,Room 403,Copper,Monday,11:10,11:50
ASYNC,Room 403,Copper,Monday,12:30,12:55
ASYNC,Room 403,Copper,Monday,12:55,1:20
Science,Room 403,Copper,Monday,6:00,6:40
Mathematics,Room 403,Copper,Monday,6:40,7:20
English,Room 403,Copper,Monday,7:20,8:00
TLE,Room 403,Copper,Monday,8:00,8:40
Filipino,Room 403,Copper,Monday,8:40,9:20
Recess,Room 403,Copper,Monday,9:20,9:50
Mapeh,Room 403,Copper,Monday,9:50,10:30
Values Education,Room 401,Copper,Monday,10:30,11:10
AP,Room 403,Copper,Monday,11:10,11:50
ASYNC,Room 403,Copper,Monday,12:30,12:55
ASYNC,Room 403,Copper,Monday,12:55,1:20
Science,Room 301,Dubnium,Monday,6:00,6:40
Mathematics,Room 301,Dubnium,Monday,6:40,7:20
English,Room 301,Dubnium,Monday,7:20,8:00
TLE,Room 301,Dubnium,Monday,8:00,8:40
Filipino,Room 301,Dubnium,Monday,8:40,9:20
Recess,Room 301,Dubnium,Monday,9:20,9:50
Mapeh,Room 301,Dubnium,Monday,9:50,10:30
Values Education,Room 301,Dubnium,Monday,10:30,11:10
AP,Room 301,Dubnium,Monday,11:10,11;50
ASYNC,Room 301,Dubnium,Monday,12:30,12:55
ASYNC,Room 301,Dubnium,Monday,12:55,1:20
Mathematics,Room 302,Europium,Monday,6:00,6:40
English,Room 302,Europium,Monday,6:40,7:20
Filipino,Room 302,Europium,Monday,7:20,8:00
Mapeh,Room 302,Europium,Monday,8:00,8:40
TLE,Room 302,Europium,Monday,8:40,9:20
Recess,Room 302,Europium,Monday,9:20,9:50
Values Education,Room 302,Europium,Monday,9:50,10:30
AP,Room 302,Europium,Monday,10:30,11:10
Science,Room 302,Europium,Monday,11:10,11:50
ASYNC,Room 302,Europium,Monday,12:30,12:55
ASYNC,Room 302,Europium,Monday,12:55,1:20
English,Room 303,Flourine,Monday,6:00,6:40
Filipino,Room 303,Flourine,Monday,6:40,7:20
Mapeh,Room 303,Flourine,Monday,7:20,8:00
Values Education,Room 303,Flourine,Monday,8:00,8:40
AP,Room 303,Flourine,Monday,8:40,9:20
Recess,Room 303,Flourine,Monday,9:20,9:50
TLE,Room 303,Flourine,Monday,9:50,10:30
Science,Room 303,Flourine,Monday,10:30,11:10
Mathematics,Room 303,Flourine,Monday,11:10,11:50
ASYNC,Room 303,Flourine,Monday,12:30,12:55
ASYNC,Room 303,Flourine,Monday,12:55,1:20
Filipino,Room VPEIII 301,Gold,Monday,6:00,6:40
Mapeh,Room VPEIII 301,Gold,Monday,6:40,7:20
Values Education,Room 302,Gold,Monday,7:20,8:00
AP,Room 302,Gold,Monday,8:00,8:40
Science,Room 302,Gold,Monday,8:40,9:20
Recess,Room 302,Gold,Monday,9:20,9:50
Mathematics,Room 302,Gold,Monday,9:50,10:30
TLE,Room 302,Gold,Monday,10:30,11:10
English,Room 302,Gold,Monday,11:10,11:50
ASYNC,Room 302,Gold,Monday,12:30,12:55
